state,county_name,frac_under_25mbpsDL,samples,UL_3_state,UL_3_county_name,frac_under_3mbpsUL,UL_3_samples,DL_10_state,DL_10_county_name,frac_under_10mbpsDL,DL_10_samples,UL_1_state,UL_1_county_name,frac_under_1mbpsUL,UL_1_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
HI,Honolulu,0.59378054198134167,11255,HI,Honolulu,0.27690204278590963,12434,HI,Honolulu,0.431274988893825,11255,HI,Honolulu,0.15425446356763711,12434,HI,Honolulu,14.356139899233643,HI,Honolulu,6.6408332705826778,1148898,HI,Honolulu,953265,HI,Honolulu
NH,Coos,0.67462686567164176,335,NH,Coos,0.37068965517241381,348,NH,Coos,0.45074626865671641,335,NH,Coos,0.20977011494252873,348,NH,Coos,11.827963835248463,NH,Coos,5.7342075132396877,26233,NH,Coos,24284,NH,Coos
VT,Caledonia,0.73529411764705888,170,VT,Caledonia,0.64130434782608692,184,VT,Caledonia,0.5117647058823529,170,VT,Caledonia,0.3641304347826087,184,VT,Caledonia,9.3502092626653148,VT,Caledonia,1.5058781770871048,26903,VT,Caledonia,27116,VT,Caledonia
MA,Suffolk,0.47147769560506853,21229,MA,Suffolk,0.24029417650590354,19988,MA,Suffolk,0.30180413585190069,21229,MA,Suffolk,0.12757654592755654,19988,MA,Suffolk,27.129141779541378,MA,Suffolk,6.5003377703792413,1683859,MA,Suffolk,1731760,MA,Suffolk
MA,Dukes,0.26178861788617885,615,MA,Dukes,0.087423312883435578,652,MA,Dukes,0.1886178861788618,615,MA,Dukes,0.055214723926380369,652,MA,Dukes,66.553656919573172,MA,Dukes,11.171932801376709,73996,MA,Dukes,58470,MA,Dukes
VT,Orleans,0.48128342245989303,187,VT,Orleans,0.33636363636363636,220,VT,Orleans,0.35294117647058826,187,VT,Orleans,0.17272727272727273,220,VT,Orleans,25.778781281884687,VT,Orleans,5.3101546305512564,20484,VT,Orleans,17855,VT,Orleans
HI,Hawaii,0.59410883674488268,2003,HI,Hawaii,0.2886196451752488,2311,HI,Hawaii,0.40389415876185719,2003,HI,Hawaii,0.1579402855906534,2311,HI,Hawaii,14.998242827676753,HI,Hawaii,5.6944489125327342,209937,HI,Hawaii,148772,HI,Hawaii
RI,Kent,0.29255861365953106,1962,RI,Kent,0.12381951731374606,1906,RI,Kent,0.15647298674821611,1962,RI,Kent,0.049842602308499476,1906,RI,Kent,53.09543744902642,RI,Kent,21.710123554641232,190648,RI,Kent,215691,RI,Kent
NH,Sullivan,0.53223140495867771,605,NH,Sullivan,0.38196721311475412,610,NH,Sullivan,0.36033057851239669,605,NH,Sullivan,0.28196721311475409,610,NH,Sullivan,20.455076418268526,NH,Sullivan,5.011683714068929,54304,NH,Sullivan,48506,NH,Sullivan
MA,Hampden,0.52432508436445446,7112,MA,Hampden,0.3826709526592636,6844,MA,Hampden,0.33028683914510687,7112,MA,Hampden,0.23246639392168322,6844,MA,Hampden,21.632704423808047,MA,Hampden,4.766431745093465,459390,MA,Hampden,464236,MA,Hampden
RI,Newport,0.3791411042944785,1630,RI,Newport,0.29268292682926828,1640,RI,Newport,0.25337423312883434,1630,RI,Newport,0.18170731707317073,1640,RI,Newport,43.835966036537734,RI,Newport,8.8194828011559618,152115,RI,Newport,140696,RI,Newport
MA,Plymouth,0.32326732673267328,6060,MA,Plymouth,0.12025745257452575,5904,MA,Plymouth,0.17491749174917492,6060,MA,Plymouth,0.053014905149051487,5904,MA,Plymouth,53.028623770256495,MA,Plymouth,10.829264087550927,473228,MA,Plymouth,473660,MA,Plymouth
CT,Fairfield,0.27257230836907509,18186,CT,Fairfield,0.1361111111111111,18000,CT,Fairfield,0.1447267128560431,18186,CT,Fairfield,0.059,18000,CT,Fairfield,73.537204243485661,CT,Fairfield,18.429042842804147,2883792,CT,Fairfield,2630424,CT,Fairfield
NH,Strafford,0.28898426323319026,2097,NH,Strafford,0.12766924125397547,2201,NH,Strafford,0.15259895088221268,2097,NH,Strafford,0.050431621990004546,2201,NH,Strafford,57.220364684701387,NH,Strafford,5.9029627857822415,187031,NH,Strafford,156796,NH,Strafford
VT,Essex,1.0,4,VT,Essex,0.75,4,VT,Essex,0.75,4,VT,Essex,0.0,4,VT,Essex,4.54454808099458,VT,Essex,1.7929463704873672,2178,VT,Essex,1849,VT,Essex
VT,Addison,0.64309764309764306,297,VT,Addison,0.51418439716312059,282,VT,Addison,0.48148148148148145,297,VT,Addison,0.39007092198581561,282,VT,Addison,10.231897431168994,VT,Addison,2.726161133874295,33587,VT,Addison,34730,VT,Addison
HI,Kauai,0.52387843704775683,691,HI,Kauai,0.22974607013301088,827,HI,Kauai,0.35745296671490595,691,HI,Kauai,0.12696493349455865,827,HI,Kauai,21.230778419328686,HI,Kauai,6.4973014911589368,67852,HI,Kauai,45822,HI,Kauai
MA,Worcester,0.34245264970346279,10454,MA,Worcester,0.15799962042133231,10538,MA,Worcester,0.19772335947962502,10454,MA,Worcester,0.08663883089770355,10538,MA,Worcester,45.791400605976349,MA,Worcester,9.1305257017802326,1023143,MA,Worcester,933324,MA,Worcester
NH,Cheshire,0.63658940397350994,1208,NH,Cheshire,0.45351657235246562,1237,NH,Cheshire,0.42135761589403975,1208,NH,Cheshire,0.26515763945028292,1237,NH,Cheshire,13.799670945923634,NH,Cheshire,3.7063923027445904,123472,NH,Cheshire,115321,NH,Cheshire
CT,Hartford,0.44777287604952326,14054,CT,Hartford,0.26902732882750513,13612,CT,Hartford,0.26270101038850152,14054,CT,Hartford,0.11871877754922128,13612,CT,Hartford,29.233828900051641,CT,Hartford,5.7926287940994632,1246333,CT,Hartford,1360622,CT,Hartford
NH,Hillsborough,0.35289927340076932,7019,NH,Hillsborough,0.15365923384791311,6996,NH,Hillsborough,0.20529990027069384,7019,NH,Hillsborough,0.077758719268153226,6996,NH,Hillsborough,47.124852181555795,NH,Hillsborough,7.759988230679812,685881,NH,Hillsborough,634433,NH,Hillsborough
DE,New Castle,0.35144356955380579,7620,DE,New Castle,0.14874622554811606,7617,DE,New Castle,0.21102362204724409,7620,DE,New Castle,0.076670605225154259,7617,DE,New Castle,47.047418533141069,DE,New Castle,11.351251451238529,769376,DE,New Castle,689463,DE,New Castle
VT,Windsor,0.35907335907335908,518,VT,Windsor,0.094619666048237475,539,VT,Windsor,0.20656370656370657,518,VT,Windsor,0.072356215213358069,539,VT,Windsor,41.632358404361831,VT,Windsor,29.25913781398096,63529,VT,Windsor,53286,VT,Windsor
MA,Bristol,0.34479778776356723,5786,MA,Bristol,0.11250672887134398,5573,MA,Bristol,0.18406498444521258,5786,MA,Bristol,0.045038578862372149,5573,MA,Bristol,46.078691016586859,MA,Bristol,9.1904777439127852,502694,MA,Bristol,566415,MA,Bristol
DE,Wicomico,0.0,2,DE,Wicomico,0.0,3,DE,Wicomico,0.0,2,DE,Wicomico,0.0,3,DE,Wicomico,43.425049501207305,DE,Wicomico,14.789851936117657,989,DE,Wicomico,726,DE,Wicomico
RI,Washington,0.25389497980380843,1733,RI,Washington,0.14158305462653289,1794,RI,Washington,0.14079630698211196,1733,RI,Washington,0.074693422519509473,1794,RI,Washington,63.144937643932842,RI,Washington,17.705437512421927,159326,RI,Washington,138936,RI,Washington
MA,Nantucket,0.24118738404452691,539,MA,Nantucket,0.094570928196147111,571,MA,Nantucket,0.14842300556586271,539,MA,Nantucket,0.019264448336252189,571,MA,Nantucket,87.529107258789452,MA,Nantucket,8.542110775568629,52783,MA,Nantucket,39301,MA,Nantucket
DE,Kent,0.35610010427528677,1918,DE,Kent,0.159569009748589,1949,DE,Kent,0.22314911366006257,1918,DE,Kent,0.075936377629553617,1949,DE,Kent,50.303402926893391,DE,Kent,9.4978136463594645,151894,DE,Kent,132252,DE,Kent
MA,Norfolk,0.30529545991029977,12709,MA,Norfolk,0.13150242326332795,12380,MA,Norfolk,0.17696120859233613,12709,MA,Norfolk,0.054200323101777061,12380,MA,Norfolk,55.151309934035524,MA,Norfolk,11.34096106727743,1147115,MA,Norfolk,1039791,MA,Norfolk
CT,New Haven,0.44636650230377495,12371,CT,New Haven,0.25004195334787715,11918,CT,New Haven,0.25996281626384288,12371,CT,New Haven,0.10899479778486323,11918,CT,New Haven,29.400057482894624,CT,New Haven,5.7832615902322422,1030118,CT,New Haven,1211183,CT,New Haven
MA,Barnstable,0.29020286986640276,4042,MA,Barnstable,0.10142822561123215,4131,MA,Barnstable,0.16452251360712519,4042,MA,Barnstable,0.046961994674412977,4131,MA,Barnstable,62.909845443109326,MA,Barnstable,9.4187826907192189,440399,MA,Barnstable,360306,MA,Barnstable
MA,Hampshire,0.43928738865447725,2133,MA,Hampshire,0.27942583732057419,2090,MA,Hampshire,0.29067041725269571,2133,MA,Hampshire,0.18851674641148325,2090,MA,Hampshire,32.0819565612089,MA,Hampshire,5.8252276976371462,181971,MA,Hampshire,168841,MA,Hampshire
MA,Franklin,0.43473193473193472,858,MA,Franklin,0.22288438617401668,839,MA,Franklin,0.27505827505827507,858,MA,Franklin,0.12872467222884387,839,MA,Franklin,31.789408505075095,MA,Franklin,5.91898034407329,72674,MA,Franklin,68356,MA,Franklin
NH,Merrimack,0.39711465451784356,2634,NH,Merrimack,0.1920742591931453,2801,NH,Merrimack,0.22854973424449507,2634,NH,Merrimack,0.10960371295965726,2801,NH,Merrimack,39.731006899810467,NH,Merrimack,8.9939225002355556,200954,NH,Merrimack,202768,NH,Merrimack
RI,Providence,0.35470995210218204,7516,RI,Providence,0.19342966194111233,7336,RI,Providence,0.21101649813730708,7516,RI,Providence,0.09610141766630316,7336,RI,Providence,42.71758296760661,RI,Providence,14.082861820914145,642203,RI,Providence,685337,RI,Providence
MA,Berkshire,0.41141732283464566,2032,MA,Berkshire,0.18631178707224336,2104,MA,Berkshire,0.22440944881889763,2032,MA,Berkshire,0.079372623574144485,2104,MA,Berkshire,34.150958814840678,MA,Berkshire,8.8760420417601633,199031,MA,Berkshire,158970,MA,Berkshire
CT,Middlesex,0.4196389255834434,2271,CT,Middlesex,0.23104857013163868,2203,CT,Middlesex,0.25187142228093351,2271,CT,Middlesex,0.11438946890603723,2203,CT,Middlesex,33.8330936631498,CT,Middlesex,5.7276405768068326,211580,CT,Middlesex,191228,CT,Middlesex
CT,New London,0.46302068574667044,3529,CT,New London,0.22759022118742725,3436,CT,New London,0.25672995182771324,3529,CT,New London,0.10681024447031431,3436,CT,New London,27.956962434058095,CT,New London,5.8316308300753636,295631,CT,New London,366658,CT,New London
NH,Belknap,0.41485068603712671,1239,NH,Belknap,0.25510204081632654,1274,NH,Belknap,0.22356739305891848,1239,NH,Belknap,0.12637362637362637,1274,NH,Belknap,37.1600687066879,NH,Belknap,6.4315271669894623,95141,NH,Belknap,86567,NH,Belknap
VT,Franklin,0.6635262449528937,743,VT,Franklin,0.56182795698924726,744,VT,Franklin,0.45491251682368777,743,VT,Franklin,0.38709677419354838,744,VT,Franklin,12.160046362788437,VT,Franklin,1.7802076403785227,47255,VT,Franklin,49224,VT,Franklin
CT,Litchfield,0.30426356589147285,2580,CT,Litchfield,0.15419330575404289,2659,CT,Litchfield,0.15775193798449613,2580,CT,Litchfield,0.080105302745393,2659,CT,Litchfield,53.782779623987921,CT,Litchfield,10.562971400760784,252427,CT,Litchfield,264530,CT,Litchfield
VT,Rutland,0.38979963570127507,549,VT,Rutland,0.24880382775119617,627,VT,Rutland,0.23497267759562843,549,VT,Rutland,0.097288676236044661,627,VT,Rutland,37.651080810344688,VT,Rutland,5.818663860942582,52852,VT,Rutland,44195,VT,Rutland
MA,Middlesex,0.33844635556182151,35465,MA,Middlesex,0.14435315899097431,34568,MA,Middlesex,0.20304525588608488,35465,MA,Middlesex,0.069486230039342747,34568,MA,Middlesex,49.373038894028994,MA,Middlesex,11.688546125649466,3412690,MA,Middlesex,3230295,MA,Middlesex
CT,Windham,0.38834951456310679,1133,CT,Windham,0.23153153153153153,1110,CT,Windham,0.22859664607237423,1133,CT,Windham,0.13153153153153152,1110,CT,Windham,36.52785942581599,CT,Windham,7.2964443316854659,97548,CT,Windham,115856,CT,Windham
DE,Sussex,0.3126003210272873,2492,DE,Sussex,0.1662912912912913,2664,DE,Sussex,0.1998394863563403,2492,DE,Sussex,0.082957957957957962,2664,DE,Sussex,63.911471006855244,DE,Sussex,9.9562562899977429,284544,DE,Sussex,397442,DE,Sussex
VT,Grand Isle,0.42857142857142855,7,VT,Grand Isle,0.2857142857142857,7,VT,Grand Isle,0.2857142857142857,7,VT,Grand Isle,0.2857142857142857,7,VT,Grand Isle,45.676110216437642,VT,Grand Isle,25.292064540695627,2628,VT,Grand Isle,2597,VT,Grand Isle
HI,Maui,0.55427251732101612,1732,HI,Maui,0.22865853658536586,2296,HI,Maui,0.40127020785219397,1732,HI,Maui,0.12848432055749129,2296,HI,Maui,17.106199363679195,HI,Maui,7.6648830825941152,186595,HI,Maui,132700,HI,Maui
VT,Orange,0.5816993464052288,153,VT,Orange,0.26845637583892618,149,VT,Orange,0.33333333333333331,153,VT,Orange,0.174496644295302,149,VT,Orange,19.928566704848311,VT,Orange,14.864172209539676,32929,VT,Orange,31265,VT,Orange
VT,Lamoille,0.78846153846153844,676,VT,Lamoille,0.71257485029940115,668,VT,Lamoille,0.599112426035503,676,VT,Lamoille,0.53742514970059885,668,VT,Lamoille,7.0042536316145867,VT,Lamoille,0.98379092876790863,62682,VT,Lamoille,66053,VT,Lamoille
CT,Tolland,0.42268786127167629,2768,CT,Tolland,0.241506646971935,2708,CT,Tolland,0.25903179190751446,2768,CT,Tolland,0.12112259970457903,2708,CT,Tolland,33.981154925345614,CT,Tolland,5.8687309603511775,206323,CT,Tolland,203612,CT,Tolland
NH,Grafton,0.50598404255319152,1504,NH,Grafton,0.2942295497780596,1577,NH,Grafton,0.35771276595744683,1504,NH,Grafton,0.1794546607482562,1577,NH,Grafton,22.931345518618667,NH,Grafton,5.9098587700796692,138875,NH,Grafton,118777,NH,Grafton
DC,District of Columbia,0.50297765638293113,22333,DC,District of Columbia,0.2826530612244898,21560,DC,District of Columbia,0.33931849729100433,22333,DC,District of Columbia,0.1593692022263451,21560,DC,District of Columbia,23.382529978487632,DC,District of Columbia,5.979061152430404,1938958,DC,District of Columbia,1784439,DC,District of Columbia
VT,Washington,0.72204968944099379,1288,VT,Washington,0.54873369148119722,1303,VT,Washington,0.53027950310559,1288,VT,Washington,0.39447429009976975,1303,VT,Washington,8.24113266265174,VT,Washington,1.9703895288448225,114919,VT,Washington,117076,VT,Washington
RI,Bristol,0.33547008547008544,936,RI,Bristol,0.20776495278069254,953,RI,Bristol,0.20726495726495728,936,RI,Bristol,0.13011542497376705,953,RI,Bristol,52.731754022247074,RI,Bristol,9.2207947022375016,78263,RI,Bristol,72725,RI,Bristol
VT,Windham,0.72537313432835826,1005,VT,Windham,0.6105577689243028,1004,VT,Windham,0.5014925373134328,1005,VT,Windham,0.41832669322709165,1004,VT,Windham,9.4596551792786219,VT,Windham,1.5730057527769066,76302,VT,Windham,73530,VT,Windham
VT,Bennington,0.43501326259946949,377,VT,Bennington,0.18227848101265823,395,VT,Bennington,0.23342175066312998,377,VT,Bennington,0.11139240506329114,395,VT,Bennington,36.529376592799238,VT,Bennington,5.8033221644768522,44168,VT,Bennington,34842,VT,Bennington
NH,Rockingham,0.2748716302952503,6232,NH,Rockingham,0.099505562422744123,6472,NH,Rockingham,0.14842747111681642,6232,NH,Rockingham,0.044499381953028432,6472,NH,Rockingham,67.93205748841784,NH,Rockingham,9.5176585238735765,579899,NH,Rockingham,750055,NH,Rockingham
VT,Chittenden,0.43309253525971791,2907,VT,Chittenden,0.20993002332555816,3001,VT,Chittenden,0.25111799105607158,2907,VT,Chittenden,0.11996001332889036,3001,VT,Chittenden,31.981102709821556,VT,Chittenden,5.7717301585895253,261287,VT,Chittenden,228854,VT,Chittenden
MA,Essex,0.30313156387244605,10474,MA,Essex,0.11088553750966744,10344,MA,Essex,0.16622111896123734,10474,MA,Essex,0.050657385924207272,10344,MA,Essex,57.636373174825536,MA,Essex,10.846778005237919,1004462,MA,Essex,912484,MA,Essex
NH,Carroll,0.41154791154791154,814,NH,Carroll,0.25851938895417154,851,NH,Carroll,0.18304668304668303,814,NH,Carroll,0.070505287896592245,851,NH,Carroll,33.870582816363253,NH,Carroll,5.785851381180402,93884,NH,Carroll,62508,NH,Carroll
AK,Nome,1.0,46,AK,Nome,0.91111111111111109,45,AK,Nome,0.97826086956521741,46,AK,Nome,0.31111111111111112,45,AK,Nome,1.3607566438962806,AK,Nome,1.5578144918778949,5819,AK,Nome,5499,AK,Nome
AK,Fairbanks North Star,0.99142857142857144,700,AK,Fairbanks North Star,0.37554585152838427,687,AK,Fairbanks North Star,0.95857142857142852,700,AK,Fairbanks North Star,0.25473071324599711,687,AK,Fairbanks North Star,2.2466510892942235,AK,Fairbanks North Star,5.9899426632564889,90634,AK,Fairbanks North Star,77282,AK,Fairbanks North Star
AK,Aleutians East,1.0,2,AK,Aleutians East,1.0,2,AK,Aleutians East,1.0,2,AK,Aleutians East,1.0,2,AK,Aleutians East,0.31602459339796374,AK,Aleutians East,0.13646852256096245,387,AK,Aleutians East,255,AK,Aleutians East
AK,Prince of Wales-Hyder,1.0,28,AK,Prince of Wales-Hyder,0.93103448275862066,29,AK,Prince of Wales-Hyder,1.0,28,AK,Prince of Wales-Hyder,0.86206896551724133,29,AK,Prince of Wales-Hyder,0.742334706418662,AK,Prince of Wales-Hyder,0.71606457411996338,1681,AK,Prince of Wales-Hyder,1904,AK,Prince of Wales-Hyder
AK,Lake and Peninsula,1.0,8,AK,Lake and Peninsula,1.0,7,AK,Lake and Peninsula,1.0,8,AK,Lake and Peninsula,1.0,7,AK,Lake and Peninsula,0.89162403271428126,AK,Lake and Peninsula,0.62120490816304552,472,AK,Lake and Peninsula,473,AK,Lake and Peninsula
AK,Hoonah-Angoon,1.0,8,AK,Hoonah-Angoon,0.6,5,AK,Hoonah-Angoon,1.0,8,AK,Hoonah-Angoon,0.4,5,AK,Hoonah-Angoon,0.77092996707245065,AK,Hoonah-Angoon,2.9547398229839579,741,AK,Hoonah-Angoon,788,AK,Hoonah-Angoon
AK,Sitka,1.0,55,AK,Sitka,0.14,50,AK,Sitka,0.98181818181818181,55,AK,Sitka,0.08,50,AK,Sitka,2.7560239364655783,AK,Sitka,9.296332094021766,11941,AK,Sitka,10119,AK,Sitka
AK,Juneau,0.83636363636363631,330,AK,Juneau,0.23262839879154079,331,AK,Juneau,0.8,330,AK,Juneau,0.10876132930513595,331,AK,Juneau,3.7532569689001365,AK,Juneau,9.7109956798066079,60409,AK,Juneau,46670,AK,Juneau
AK,Kusilvak,1.0,6,AK,Kusilvak,1.0,6,AK,Kusilvak,1.0,6,AK,Kusilvak,0.66666666666666663,6,AK,Kusilvak,0.19011761640593886,AK,Kusilvak,0.053018598900697766,2008,AK,Kusilvak,2541,AK,Kusilvak
AK,Anchorage,0.94947643979057594,3820,AK,Anchorage,0.38822329849604892,3923,AK,Anchorage,0.9,3820,AK,Anchorage,0.26178944685189903,3923,AK,Anchorage,2.3532082545614208,AK,Anchorage,5.3591563450311286,561092,AK,Anchorage,444109,AK,Anchorage
AK,Petersburg,1.0,17,AK,Petersburg,0.15384615384615385,13,AK,Petersburg,0.82352941176470584,17,AK,Petersburg,0.076923076923076927,13,AK,Petersburg,3.2289636828875334,AK,Petersburg,9.2329392631626916,2345,AK,Petersburg,2106,AK,Petersburg
AK,Bethel,1.0,113,AK,Bethel,0.968503937007874,127,AK,Bethel,1.0,113,AK,Bethel,0.30708661417322836,127,AK,Bethel,1.9322966380149644,AK,Bethel,1.531220351083481,13808,AK,Bethel,11352,AK,Bethel
AK,Wrangell,0.91666666666666663,12,AK,Wrangell,0.6,10,AK,Wrangell,0.91666666666666663,12,AK,Wrangell,0.3,10,AK,Wrangell,1.6530782146920231,AK,Wrangell,1.8761349851336537,1127,AK,Wrangell,1228,AK,Wrangell
AK,Kenai Peninsula,0.97913043478260875,575,AK,Kenai Peninsula,0.41710296684118675,573,AK,Kenai Peninsula,0.93913043478260871,575,AK,Kenai Peninsula,0.21465968586387435,573,AK,Kenai Peninsula,2.2588676081134387,AK,Kenai Peninsula,3.9002979180496173,62078,AK,Kenai Peninsula,58355,AK,Kenai Peninsula
AK,Skagway,1.0,3,AK,Skagway,1.0,3,AK,Skagway,1.0,3,AK,Skagway,0.66666666666666663,3,AK,Skagway,3.9298884963924947,AK,Skagway,0.9856586185609516,992,AK,Skagway,1111,AK,Skagway
AK,Valdez-Cordova,0.91203703703703709,216,AK,Valdez-Cordova,0.5892857142857143,224,AK,Valdez-Cordova,0.83796296296296291,216,AK,Valdez-Cordova,0.39732142857142855,224,AK,Valdez-Cordova,3.6385765910978036,AK,Valdez-Cordova,2.5553930194935721,65111,AK,Valdez-Cordova,58606,AK,Valdez-Cordova
AK,Haines,1.0,23,AK,Haines,0.95238095238095233,21,AK,Haines,1.0,23,AK,Haines,0.66666666666666663,21,AK,Haines,2.2294208944162781,AK,Haines,0.80850350460247744,6438,AK,Haines,6003,AK,Haines
AK,Matanuska-Susitna,0.99778270509977829,902,AK,Matanuska-Susitna,0.4869047619047619,840,AK,Matanuska-Susitna,0.97893569844789352,902,AK,Matanuska-Susitna,0.17142857142857143,840,AK,Matanuska-Susitna,2.1229666104011775,AK,Matanuska-Susitna,3.012413565436193,85653,AK,Matanuska-Susitna,86792,AK,Matanuska-Susitna
AK,Northwest Arctic,1.0,55,AK,Northwest Arctic,0.61111111111111116,54,AK,Northwest Arctic,0.92727272727272725,55,AK,Northwest Arctic,0.35185185185185186,54,AK,Northwest Arctic,1.939219412224406,AK,Northwest Arctic,1.8672869788139521,13907,AK,Northwest Arctic,12830,AK,Northwest Arctic
AK,Aleutians West,1.0,30,AK,Aleutians West,1.0,35,AK,Aleutians West,1.0,30,AK,Aleutians West,0.88571428571428568,35,AK,Aleutians West,1.1374879739726951,AK,Aleutians West,0.17425897593836637,6842,AK,Aleutians West,5545,AK,Aleutians West
AK,Ketchikan Gateway,0.96969696969696972,132,AK,Ketchikan Gateway,0.22302158273381295,139,AK,Ketchikan Gateway,0.89393939393939392,132,AK,Ketchikan Gateway,0.1366906474820144,139,AK,Ketchikan Gateway,2.94625101321359,AK,Ketchikan Gateway,23.692514170009463,16832,AK,Ketchikan Gateway,17780,AK,Ketchikan Gateway
AK,Yukon-Koyukuk,1.0,17,AK,Yukon-Koyukuk,0.47058823529411764,17,AK,Yukon-Koyukuk,1.0,17,AK,Yukon-Koyukuk,0.41176470588235292,17,AK,Yukon-Koyukuk,1.6292126577442649,AK,Yukon-Koyukuk,3.2068637679723504,889,AK,Yukon-Koyukuk,861,AK,Yukon-Koyukuk
AK,Dillingham,0.98837209302325579,172,AK,Dillingham,0.22527472527472528,182,AK,Dillingham,0.95930232558139539,172,AK,Dillingham,0.11538461538461539,182,AK,Dillingham,2.6008923128423334,AK,Dillingham,13.046340758415829,8735,AK,Dillingham,7746,AK,Dillingham
AK,Bristol Bay,1.0,11,AK,Bristol Bay,1.0,11,AK,Bristol Bay,0.90909090909090906,11,AK,Bristol Bay,0.81818181818181823,11,AK,Bristol Bay,3.2443887067543811,AK,Bristol Bay,0.78451953926490292,1294,AK,Bristol Bay,1281,AK,Bristol Bay
AK,North Slope,0.75862068965517238,58,AK,North Slope,0.94117647058823528,51,AK,North Slope,0.67241379310344829,58,AK,North Slope,0.82352941176470584,51,AK,North Slope,1.054501319094173,AK,North Slope,0.52763375946036473,10274,AK,North Slope,10237,AK,North Slope
AK,Denali,1.0,1,AK,Denali,1.0,1,AK,Denali,1.0,1,AK,Denali,0.0,1,AK,Denali,0.2410980193905593,AK,Denali,1.3089791111060141,274,AK,Denali,285,AK,Denali
AK,Southeast Fairbanks,1.0,35,AK,Southeast Fairbanks,0.78787878787878785,33,AK,Southeast Fairbanks,1.0,35,AK,Southeast Fairbanks,0.48484848484848486,33,AK,Southeast Fairbanks,1.5717645329437011,AK,Southeast Fairbanks,1.034592003355763,3615,AK,Southeast Fairbanks,4241,AK,Southeast Fairbanks
AK,Kodiak Island,1.0,91,AK,Kodiak Island,0.45783132530120479,83,AK,Kodiak Island,1.0,91,AK,Kodiak Island,0.25301204819277107,83,AK,Kodiak Island,2.0899652860141091,AK,Kodiak Island,3.6111267749253844,7870,AK,Kodiak Island,6950,AK,Kodiak Island
AL,Franklin,0.78,50,AL,Franklin,0.509090909090909,55,AL,Franklin,0.6,50,AL,Franklin,0.34545454545454546,55,AL,Franklin,5.5272833353514761,AL,Franklin,2.846387253018249,4628,AL,Franklin,7448,AL,Franklin
AL,Bullock,0.69444444444444442,36,AL,Bullock,0.62857142857142856,35,AL,Bullock,0.3888888888888889,36,AL,Bullock,0.42857142857142855,35,AL,Bullock,11.6237281892293,AL,Bullock,1.79877385544691,3606,AL,Bullock,4020,AL,Bullock
AL,Coosa,1.0,27,AL,Coosa,0.8125,32,AL,Coosa,1.0,27,AL,Coosa,0.78125,32,AL,Coosa,2.5528060370256234,AL,Coosa,0.29125869711115343,5108,AL,Coosa,5331,AL,Coosa
AL,Washington,0.91752577319587625,97,AL,Washington,0.83157894736842108,95,AL,Washington,0.81443298969072164,97,AL,Washington,0.70526315789473681,95,AL,Washington,3.1856842055025467,AL,Washington,0.7363841781657402,6359,AL,Washington,6564,AL,Washington
AL,Bibb,0.80701754385964908,114,AL,Bibb,0.64423076923076927,104,AL,Bibb,0.59649122807017541,114,AL,Bibb,0.5,104,AL,Bibb,7.1477316685698131,AL,Bibb,0.93261666871458293,7036,AL,Bibb,7925,AL,Bibb
AL,Lawrence,0.79069767441860461,43,AL,Lawrence,0.65,40,AL,Lawrence,0.67441860465116277,43,AL,Lawrence,0.4,40,AL,Lawrence,6.6670462827724908,AL,Lawrence,1.451441094182313,6159,AL,Lawrence,6299,AL,Lawrence
AL,Etowah,0.51310043668122274,916,AL,Etowah,0.29855715871254163,901,AL,Etowah,0.31004366812227074,916,AL,Etowah,0.18978912319644839,901,AL,Etowah,22.883701214018757,AL,Etowah,8.0614321839468346,67736,AL,Etowah,73735,AL,Etowah
AL,Randolph,0.90090090090090091,111,AL,Randolph,0.87671232876712324,146,AL,Randolph,0.7567567567567568,111,AL,Randolph,0.589041095890411,146,AL,Randolph,2.1260620406505124,AL,Randolph,0.86878656188834369,7855,AL,Randolph,7376,AL,Randolph
AL,Dale,0.60538116591928248,446,AL,Dale,0.445916114790287,453,AL,Dale,0.4461883408071749,446,AL,Dale,0.33995584988962474,453,AL,Dale,12.963506461154571,AL,Dale,3.6984818867509603,37087,AL,Dale,32413,AL,Dale
AL,Crenshaw,0.63265306122448983,49,AL,Crenshaw,0.40384615384615385,52,AL,Crenshaw,0.38775510204081631,49,AL,Crenshaw,0.34615384615384615,52,AL,Crenshaw,18.682460387624442,AL,Crenshaw,6.041962361289694,5255,AL,Crenshaw,5173,AL,Crenshaw
AL,Hale,0.81481481481481477,27,AL,Hale,0.44444444444444442,27,AL,Hale,0.55555555555555558,27,AL,Hale,0.40740740740740738,27,AL,Hale,8.5841377894198736,AL,Hale,3.2818433226551762,6110,AL,Hale,5877,AL,Hale
AL,Russell,0.67405063291139244,632,AL,Russell,0.558252427184466,618,AL,Russell,0.5,632,AL,Russell,0.30420711974110032,618,AL,Russell,9.5674255080591113,AL,Russell,2.163913905604034,73373,AL,Russell,79630,AL,Russell
AL,Blount,0.770739064856712,663,AL,Blount,0.60949464012251153,653,AL,Blount,0.55957767722473606,663,AL,Blount,0.4333843797856049,653,AL,Blount,7.8903802780841721,AL,Blount,1.4294903208647418,43189,AL,Blount,48710,AL,Blount
