state,county_name,frac_under_25mbpsDL,samples,BB_state,BB_county_name,frac_BB,BB_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
NH,Rockingham,0.29409118176364729,6668,NH,Rockingham,0.52336450429653569,40246374332,NH,Rockingham,73.029944671680269,NH,Rockingham,10.213738906288096,587249,NH,Rockingham,756734,NH,Rockingham
RI,Washington,0.25116550116550118,1716,RI,Washington,0.55518982927826466,10357345284,RI,Washington,71.033896770101961,RI,Washington,18.532413626398622,161222,RI,Washington,140734,RI,Washington
RI,Newport,0.40785307156428119,1579,RI,Newport,0.43902084187835211,9530447671,RI,Newport,35.245423836535437,RI,Newport,9.9986236781251367,153453,RI,Newport,142164,RI,Newport
VT,Windham,0.76869391824526423,1003,VT,Windham,0.17149154351236448,6053856247,VT,Windham,8.1356071675126387,VT,Windham,1.7240514773324735,79620,VT,Windham,76693,VT,Windham
NH,Grafton,0.51191969887076538,1594,NH,Grafton,0.361865297979431,9620983906,NH,Grafton,22.737190771435021,NH,Grafton,5.7514740048842015,141171,NH,Grafton,120702,NH,Grafton
MA,Norfolk,0.33139401362627269,13063,MA,Norfolk,0.49570798889074114,78844989187,MA,Norfolk,54.577930023184592,MA,Norfolk,11.518805204827663,1156017,MA,Norfolk,1049069,MA,Norfolk
CT,Middlesex,0.44703632887189293,2615,CT,Middlesex,0.40997016917425277,15783483635,CT,Middlesex,30.099402330138876,CT,Middlesex,5.8099474804151923,212340,CT,Middlesex,192082,CT,Middlesex
MA,Worcester,0.35411622276029053,11564,MA,Worcester,0.47886162373318647,69797401436,MA,Worcester,47.073135230691932,MA,Worcester,9.7822101017585883,1031626,MA,Worcester,944726,MA,Worcester
DE,Kent,0.31988188976377951,2032,DE,Kent,0.5042431379681348,12264641968,DE,Kent,65.6036960140029,DE,Kent,9.8133546813028971,153620,DE,Kent,133708,DE,Kent
CT,Litchfield,0.35532591414944353,2516,CT,Litchfield,0.47796475218564349,15185944484,CT,Litchfield,48.366910886692708,CT,Litchfield,11.029214563493733,255339,CT,Litchfield,267390,CT,Litchfield
NH,Sullivan,0.48666666666666669,750,NH,Sullivan,0.38058802864952357,4526811750,NH,Sullivan,25.457976508248397,NH,Sullivan,5.45193470560411,54823,NH,Sullivan,49105,NH,Sullivan
VT,Franklin,0.77493606138107418,782,VT,Franklin,0.16686358581637864,4719955718,VT,Franklin,9.3470632482867551,VT,Franklin,0.98127140291699844,47738,VT,Franklin,49713,VT,Franklin
MA,Essex,0.33330441571961483,11527,MA,Essex,0.49429160674794953,69574078723,MA,Essex,54.416063514866806,MA,Essex,11.094419765319582,1013728,MA,Essex,922821,MA,Essex
CT,Tolland,0.45952600800246229,3249,CT,Tolland,0.40071025548834011,19610148501,CT,Tolland,29.189736532418689,CT,Tolland,5.8856855656381688,208106,CT,Tolland,205571,CT,Tolland
HI,Hawaii,0.54971240755957274,2434,HI,Hawaii,0.33384558532255,14691013066,HI,Hawaii,18.274740481649609,HI,Hawaii,5.67008226655789,211820,HI,Hawaii,150407,HI,Hawaii
MA,Berkshire,0.42613399916770706,2403,MA,Berkshire,0.425467266167042,14503904847,MA,Berkshire,33.7720626260409,MA,Berkshire,9.6963726308627631,200997,MA,Berkshire,161035,MA,Berkshire
NH,Belknap,0.47750591949486976,1267,NH,Belknap,0.38737985470225905,7647293983,NH,Belknap,26.788061345251894,NH,Belknap,5.3389197764824692,96510,NH,Belknap,87919,NH,Belknap
HI,Kauai,0.51417525773195871,776,HI,Kauai,0.36019301479666888,4683741224,HI,Kauai,22.034440977079246,HI,Kauai,6.7341325134447318,68252,HI,Kauai,46301,HI,Kauai
VT,Rutland,0.53220338983050852,590,VT,Rutland,0.34682686300000609,3561091910,VT,Rutland,21.429940355591754,VT,Rutland,5.8137927038929256,54039,VT,Rutland,45356,VT,Rutland
RI,Kent,0.32926829268292684,2050,RI,Kent,0.49728400955948204,12373285450,RI,Kent,50.973504322411948,RI,Kent,19.090689393762073,191760,RI,Kent,216706,RI,Kent
VT,Grand Isle,1.0,23,VT,Grand Isle,0.0,138822227,VT,Grand Isle,3.1741528194946711,VT,Grand Isle,0.78056665440391915,2627,VT,Grand Isle,2587,VT,Grand Isle
VT,Lamoille,0.81965174129353235,804,VT,Lamoille,0.13371114594441974,4852742196,VT,Lamoille,6.425001463885077,VT,Lamoille,0.972812214779335,63102,VT,Lamoille,66397,VT,Lamoille
VT,Orleans,0.49122807017543857,285,VT,Orleans,0.37720618013794205,1720188465,VT,Orleans,24.6960978627019,VT,Orleans,5.69327353748959,20839,VT,Orleans,18244,VT,Orleans
MA,Dukes,0.36521739130434783,690,MA,Dukes,0.47063115908664971,4164666810,MA,Dukes,57.005967000734451,MA,Dukes,11.518426522387259,75107,MA,Dukes,59502,MA,Dukes
MA,Hampden,0.50620871862615591,7570,MA,Hampden,0.36609944871894845,45690619930,MA,Hampden,23.388857646074623,MA,Hampden,5.265665801415766,466900,MA,Hampden,472245,MA,Hampden
NH,Carroll,0.3827893175074184,1011,NH,Carroll,0.45760324073625713,6102142239,NH,Carroll,35.99565962434724,NH,Carroll,6.7356116998776709,94757,NH,Carroll,63360,NH,Carroll
VT,Caledonia,0.82432432432432434,518,VT,Caledonia,0.13024686835145155,3126517982,VT,Caledonia,4.2691388028371442,VT,Caledonia,2.4297371541235284,26228,VT,Caledonia,26389,VT,Caledonia
NH,Coos,0.71301775147928992,338,NH,Coos,0.21277014588682733,2040083162,NH,Coos,9.2662522144481887,NH,Coos,7.8579075175781981,26494,NH,Coos,24599,NH,Coos
VT,Windsor,0.571157495256167,527,VT,Windsor,0.31794608470437541,3180839723,VT,Windsor,15.097123713309266,VT,Windsor,28.755944318907339,63864,VT,Windsor,53907,VT,Windsor
DE,Sussex,0.26348172276511039,2763,DE,Sussex,0.54605851791656479,16676774487,DE,Sussex,78.161249923494978,DE,Sussex,10.997094187067965,288136,DE,Sussex,401107,DE,Sussex
MA,Franklin,0.40705882352941175,850,MA,Franklin,0.43960970154169571,5130386650,MA,Franklin,35.041790233598718,MA,Franklin,6.8945543494879091,72763,MA,Franklin,68739,MA,Franklin
MA,Suffolk,0.4533609100310238,19340,MA,Suffolk,0.40528109149492642,116731385660,MA,Suffolk,28.991008123663985,MA,Suffolk,8.7997601786744326,1705234,MA,Suffolk,1755273,MA,Suffolk
MA,Hampshire,0.43374558303886923,2264,MA,Hampshire,0.41982399791945862,13664935736,MA,Hampshire,33.079674680381906,MA,Hampshire,7.0703928463434744,184078,MA,Hampshire,171115,MA,Hampshire
DE,Wicomico,0.0,5,DE,Wicomico,0.74140525061595508,30178745,DE,Wicomico,298.55054023212654,DE,Wicomico,39.910278104994752,970,DE,Wicomico,712,DE,Wicomico
DC,District of Columbia,0.48983721953365594,22730,DC,District of Columbia,0.37823736410658226,137192574770,DC,District of Columbia,24.995723480300477,DC,District of Columbia,6.1551738692419571,1962276,DC,District of Columbia,1812106,DC,District of Columbia
CT,Windham,0.42695473251028809,972,CT,Windham,0.42485877015749685,5866748028,CT,Windham,32.391984465612758,CT,Windham,8.1237781230723911,98845,CT,Windham,117128,CT,Windham
NH,Strafford,0.33853946813001268,2369,NH,Strafford,0.49041031140363089,14298689381,NH,Strafford,49.821366198050534,NH,Strafford,5.7080461064758552,188304,NH,Strafford,158473,NH,Strafford
CT,Hartford,0.46303771918758674,15854,CT,Hartford,0.39810665437704207,95690764646,CT,Hartford,28.043809805057883,CT,Hartford,5.8032736619833516,1257177,CT,Hartford,1371217,CT,Hartford
NH,Merrimack,0.32972555083107846,2587,NH,Merrimack,0.49694499596755548,15614482663,NH,Merrimack,50.321710841339694,NH,Merrimack,9.9977483419930344,203411,NH,Merrimack,205271,NH,Merrimack
CT,New London,0.46813608049832295,4174,CT,New London,0.394326702531725,25193216326,CT,New London,27.297748703617785,CT,New London,5.87539977081432,298317,CT,New London,369445,CT,New London
VT,Washington,0.67312348668280875,1239,VT,Washington,0.24234796327640176,7478293011,VT,Washington,9.4492312340668221,VT,Washington,1.8535204781039891,114487,VT,Washington,116973,VT,Washington
MA,Barnstable,0.32032400589101623,4074,MA,Barnstable,0.50391535075001948,24589641426,MA,Barnstable,61.878959527333265,MA,Barnstable,11.258089427573671,445564,MA,Barnstable,365491,MA,Barnstable
DE,New Castle,0.34450562604740242,8354,DE,New Castle,0.48598697059767415,50422647146,DE,New Castle,50.616191755917114,DE,New Castle,11.72418932851069,776901,DE,New Castle,698600,DE,New Castle
VT,Chittenden,0.40756439517443754,3067,VT,Chittenden,0.439234868069511,18511642183,VT,Chittenden,37.415864594351667,VT,Chittenden,5.7485733325783013,265228,VT,Chittenden,232727,VT,Chittenden
HI,Honolulu,0.54213214171720392,12532,HI,Honolulu,0.339465634219147,75640006468,HI,Honolulu,19.307029608985292,HI,Honolulu,7.009432913135103,1157709,HI,Honolulu,961479,HI,Honolulu
MA,Middlesex,0.3493397029349587,36423,MA,Middlesex,0.48240296061135873,219840085827,MA,Middlesex,49.412674966987716,MA,Middlesex,11.716953043453017,3445559,MA,Middlesex,3260784,MA,Middlesex
VT,Bennington,0.44477172312223856,679,VT,Bennington,0.41164915976762156,4098273571,VT,Bennington,29.656005296804317,VT,Bennington,5.6791900418179164,45833,VT,Bennington,36437,VT,Bennington
MA,Nantucket,0.3504761904761905,525,MA,Nantucket,0.48156036278102982,3168768225,MA,Nantucket,77.274424980589828,MA,Nantucket,10.720529798616759,53597,MA,Nantucket,40156,MA,Nantucket
VT,Orange,0.55319148936170215,329,VT,Orange,0.33126617580712886,1985761421,VT,Orange,21.021189249005584,VT,Orange,11.150637555033168,32703,VT,Orange,30945,VT,Orange
NH,Hillsborough,0.37115902964959568,7420,NH,Hillsborough,0.46622599722022184,44785257580,NH,Hillsborough,48.148639856129535,NH,Hillsborough,7.9948891508982474,692663,NH,Hillsborough,641482,NH,Hillsborough
HI,Maui,0.52543186180422263,2084,HI,Maui,0.35184730943338749,12578500916,HI,Maui,21.281811765480253,HI,Maui,7.55246377578814,189047,HI,Maui,134382,HI,Maui
MA,Bristol,0.34964163290744782,6418,MA,Bristol,0.48217910814443693,38737437082,MA,Bristol,50.210912937780712,MA,Bristol,9.9997695637625554,508530,MA,Bristol,571052,MA,Bristol
RI,Bristol,0.37019230769230771,1040,RI,Bristol,0.46694272995524089,6277178960,RI,Bristol,45.125261004559405,RI,Bristol,10.417485427082738,79137,RI,Bristol,73742,RI,Bristol
CT,New Haven,0.45087784833769146,13385,CT,New Haven,0.40712204647196637,80788500365,CT,New Haven,29.112557676354839,CT,New Haven,5.8707436164303459,1042490,CT,New Haven,1224341,CT,New Haven
CT,Fairfield,0.28868360277136257,19918,CT,Fairfield,0.52737371175453618,120220048582,CT,Fairfield,75.420481350680774,CT,Fairfield,17.913004079328466,2906365,CT,Fairfield,2653364,CT,Fairfield
NH,Cheshire,0.640748740100792,1389,NH,Cheshire,0.26635077037967,8383655361,NH,Cheshire,12.454145281542065,NH,Cheshire,3.1748967575362474,124624,NH,Cheshire,116546,NH,Cheshire
VT,Addison,0.844574780058651,341,VT,Addison,0.11523307414265577,2058190409,VT,Addison,9.0586717816419,VT,Addison,0.890402197031352,33881,VT,Addison,35072,VT,Addison
RI,Providence,0.37312395775430796,7196,RI,Providence,0.46476918920630533,43433249804,RI,Providence,42.517965177870551,RI,Providence,17.763690784794594,646316,RI,Providence,689595,RI,Providence
VT,Essex,1.0,15,VT,Essex,0.0,90536235,VT,Essex,1.4793122401499843,VT,Essex,1.9315421167480458,2311,VT,Essex,1916,VT,Essex
MA,Plymouth,0.33810228580825524,6081,MA,Plymouth,0.49073444067245831,36703389669,MA,Plymouth,50.465877554821468,MA,Plymouth,11.19572374026278,478151,MA,Plymouth,478437,MA,Plymouth
AK,Ketchikan Gateway,0.81512605042016806,119,AK,Ketchikan Gateway,0.13706651692059674,718254131,AK,Ketchikan Gateway,2.7832591702261071,AK,Ketchikan Gateway,26.400001268688882,16955,AK,Ketchikan Gateway,17902,AK,Ketchikan Gateway
AK,Juneau,0.9135338345864662,266,AK,Juneau,0.064106469038221675,1605509234,AK,Juneau,3.2428290223241842,AK,Juneau,9.5407254823342615,60883,AK,Juneau,47121,AK,Juneau
AK,Sitka,0.82758620689655171,58,AK,Sitka,0.12782849148550948,350073442,AK,Sitka,2.714031432596137,AK,Sitka,8.8649453353900967,11159,AK,Sitka,9431,AK,Sitka
AK,Matanuska-Susitna,0.94444444444444442,990,AK,Matanuska-Susitna,0.041189180589775283,5975391510,AK,Matanuska-Susitna,2.2722577195656783,AK,Matanuska-Susitna,3.0445203950931412,86189,AK,Matanuska-Susitna,87373,AK,Matanuska-Susitna
AK,Petersburg,1.0,20,AK,Petersburg,0.0,120714980,AK,Petersburg,2.7575554162782479,AK,Petersburg,7.93985538424136,2362,AK,Petersburg,2118,AK,Petersburg
AK,Lake and Peninsula,1.0,20,AK,Lake and Peninsula,0.0,120714980,AK,Lake and Peninsula,0.073564233232973647,AK,Lake and Peninsula,0.10599045088591659,473,AK,Lake and Peninsula,471,AK,Lake and Peninsula
AK,Yukon-Koyukuk,1.0,9,AK,Yukon-Koyukuk,0.0,54321741,AK,Yukon-Koyukuk,1.10694358111844,AK,Yukon-Koyukuk,0.78626840185019031,952,AK,Yukon-Koyukuk,920,AK,Yukon-Koyukuk
AK,Aleutians West,1.0,16,AK,Aleutians West,0.0,96571984,AK,Aleutians West,0.64378248564624829,AK,Aleutians West,0.14459207426637533,6843,AK,Aleutians West,5553,AK,Aleutians West
AK,Northwest Arctic,1.0,33,AK,Northwest Arctic,0.0,199179717,AK,Northwest Arctic,0.93107751004706329,AK,Northwest Arctic,0.98878660868234469,13809,AK,Northwest Arctic,12735,AK,Northwest Arctic
AK,Fairbanks North Star,0.87572254335260113,692,AK,Fairbanks North Star,0.092139958891578222,4176738308,AK,Fairbanks North Star,2.243448212378675,AK,Fairbanks North Star,6.76053982238548,90879,AK,Fairbanks North Star,77543,AK,Fairbanks North Star
AK,Nome,1.0,35,AK,Nome,0.0,211251215,AK,Nome,1.4488788943932165,AK,Nome,1.4540735627395915,5221,AK,Nome,5035,AK,Nome
AK,Kodiak Island,0.83333333333333337,60,AK,Kodiak Island,0.12356754176932584,362144940,AK,Kodiak Island,2.5860695546480965,AK,Kodiak Island,9.8489888802195988,7895,AK,Kodiak Island,6974,AK,Kodiak Island
AK,Anchorage,0.894379581862612,3683,AK,Anchorage,0.078307532579312111,22229663567,AK,Anchorage,2.1264205161608358,AK,Anchorage,4.7516088084514267,560283,AK,Anchorage,443975,AK,Anchorage
AK,Prince of Wales-Hyder,1.0,23,AK,Prince of Wales-Hyder,0.0,138822227,AK,Prince of Wales-Hyder,2.5807368336915362,AK,Prince of Wales-Hyder,0.79337819235555507,1731,AK,Prince of Wales-Hyder,1951,AK,Prince of Wales-Hyder
AK,North Slope,0.97674418604651159,43,AK,North Slope,0.017241982572464072,259537207,AK,North Slope,0.44464136893363149,AK,North Slope,0.34003806330945652,10374,AK,North Slope,10345,AK,North Slope
AK,Aleutians East,1.0,2,AK,Aleutians East,0.0,12071498,AK,Aleutians East,0.426632763183105,AK,Aleutians East,0.14980779952773932,395,AK,Aleutians East,260,AK,Aleutians East
AK,Southeast Fairbanks,0.95121951219512191,41,AK,Southeast Fairbanks,0.036166109786144152,247465709,AK,Southeast Fairbanks,0.9442681334146138,AK,Southeast Fairbanks,1.0595991126631716,3652,AK,Southeast Fairbanks,4280,AK,Southeast Fairbanks
AK,Kenai Peninsula,0.90709046454767728,409,AK,Kenai Peninsula,0.0688836174166413,2468621341,AK,Kenai Peninsula,2.1405349941383522,AK,Kenai Peninsula,4.9402437788481492,67091,AK,Kenai Peninsula,62382,AK,Kenai Peninsula
AK,Dillingham,0.84158415841584155,202,AK,Dillingham,0.1174503367312404,1219221298,AK,Dillingham,2.8015852858602952,AK,Dillingham,12.392829222534914,8815,AK,Dillingham,7837,AK,Dillingham
AK,Valdez-Cordova,0.94166666666666665,120,AK,Valdez-Cordova,0.043248639619264041,724289880,AK,Valdez-Cordova,2.0043473137112926,AK,Valdez-Cordova,0.87218986641030549,65168,AK,Valdez-Cordova,58663,AK,Valdez-Cordova
AK,Kusilvak,1.0,6,AK,Kusilvak,0.0,36214494,AK,Kusilvak,0.45081382960135236,AK,Kusilvak,1.8121391692905719,2001,AK,Kusilvak,2530,AK,Kusilvak
AK,Wrangell,0.95238095238095233,21,AK,Wrangell,0.0353050119340931,126750729,AK,Wrangell,1.9724218561099269,AK,Wrangell,2.2986279628181956,1134,AK,Wrangell,1234,AK,Wrangell
AK,Haines,1.0,14,AK,Haines,0.0,84500486,AK,Haines,1.9518396101465958,AK,Haines,0.93656080199181957,6372,AK,Haines,5938,AK,Haines
AK,Skagway,1.0,1,AK,Skagway,0.0,6035749,AK,Skagway,3.7440370942167855,AK,Skagway,0.99214517146662418,1076,AK,Skagway,1197,AK,Skagway
AK,Hoonah-Angoon,1.0,10,AK,Hoonah-Angoon,0.0,60357490,AK,Hoonah-Angoon,2.1506208967748015,AK,Hoonah-Angoon,1.3664578253927733,739,AK,Hoonah-Angoon,791,AK,Hoonah-Angoon
AK,Bethel,0.99180327868852458,122,AK,Bethel,0.0060770922181635663,736361378,AK,Bethel,1.3970303280441223,AK,Bethel,1.6847988887424998,13935,AK,Bethel,11473,AK,Bethel
AK,Bristol Bay,1.0,15,AK,Bristol Bay,0.0,90536235,AK,Bristol Bay,3.4517778186073915,AK,Bristol Bay,1.0889981423696204,1292,AK,Bristol Bay,1287,AK,Bristol Bay
AL,Etowah,0.51158106747230614,993,AL,Etowah,0.3621163610762721,5993498757,AL,Etowah,22.551023137290723,AL,Etowah,7.2759606155621865,67072,AL,Etowah,74014,AL,Etowah
AL,Madison,0.32900384007228373,8854,AL,Madison,0.49748007611355194,53440521646,AL,Madison,48.439745977669475,AL,Madison,11.297931633475489,673876,AL,Madison,627501,AL,Madison
AL,Pickens,0.717391304347826,46,AL,Pickens,0.20952757082624815,277644454,AL,Pickens,11.626823518396652,AL,Pickens,2.3291378821255972,3566,AL,Pickens,3433,AL,Pickens
AL,Elmore,0.41524459613196812,879,AL,Elmore,0.43354072675381217,5305423371,AL,Elmore,34.483833356923881,AL,Elmore,8.93435553825915,83259,AL,Elmore,107416,AL,Elmore
AL,Bullock,0.65217391304347827,46,AL,Bullock,0.257880087170767,277644454,AL,Bullock,15.644531832092786,AL,Bullock,2.7799310310872221,3672,AL,Bullock,4085,AL,Bullock
AL,Dale,0.631578947368421,418,AL,Dale,0.27314930285850975,2522943082,AL,Dale,12.813050221970766,AL,Dale,3.7968186081236497,37497,AL,Dale,32959,AL,Dale
AL,Jackson,0.62085308056872035,422,AL,Jackson,0.2811015168212152,2547086078,AL,Jackson,17.827534408608834,AL,Jackson,8.0899465513728064,31196,AL,Jackson,41665,AL,Jackson
AL,Washington,0.8867924528301887,106,AL,Washington,0.083932669881051511,639789394,AL,Washington,3.1775450609094649,AL,Washington,0.80171896629442108,6432,AL,Washington,6626,AL,Washington
AL,Macon,0.73333333333333328,15,AL,Macon,0.19770806683092135,90536235,AL,Macon,7.9024535947882164,AL,Macon,6.778728049631396,9860,AL,Macon,11421,AL,Macon
AL,Lowndes,0.84615384615384615,13,AL,Lowndes,0.11406234624860846,78464737,AL,Lowndes,5.0980147076943307,AL,Lowndes,0.77611087883879049,8918,AL,Lowndes,9574,AL,Lowndes
AL,Winston,0.5803571428571429,112,AL,Winston,0.31112541766919544,676003888,AL,Winston,16.193743515745176,AL,Winston,11.39314065705528,11816,AL,Winston,12655,AL,Winston
AL,Sumter,0.26666666666666666,15,AL,Sumter,0.54369718378503373,90536235,AL,Sumter,69.2189977353465,AL,Sumter,34.130774901599878,1872,AL,Sumter,1954,AL,Sumter
AL,Henry,0.8779342723004695,213,AL,Henry,0.090500171436689342,1285614537,AL,Henry,5.1696420605357742,AL,Henry,0.74051046949886057,5644,AL,Henry,4525,AL,Henry
AL,Hale,0.87096774193548387,31,AL,Hale,0.095665193627865172,187108219,AL,Hale,3.1605855950131279,AL,Hale,0.55870641952306066,6213,AL,Hale,6140,AL,Hale
AL,Montgomery,0.39524922118380063,2568,AL,Montgomery,0.44836540272841829,15499803432,AL,Montgomery,36.369227003486294,AL,Montgomery,10.029813904912807,225809,AL,Montgomery,208893,AL,Montgomery
AL,Clay,0.1,10,AL,Clay,0.66726472555435956,60357490,AL,Clay,53.327681713245681,AL,Clay,11.914065952743117,2506,AL,Clay,2648,AL,Clay
AL,Shelby,0.47884866986480595,4586,AL,Shelby,0.38638433252772186,27679944914,AL,Shelby,26.415280283100149,AL,Shelby,7.8872833946038234,339802,AL,Shelby,322375,AL,Shelby
AL,Coffee,0.65836298932384341,843,AL,Coffee,0.25329147352004155,5088136407,AL,Coffee,9.6619445617568864,AL,Coffee,3.2829133762276519,57635,AL,Coffee,68233,AL,Coffee
AL,St. Clair,0.74235214140040784,1471,AL,St. Clair,0.19102147517569473,8878586779,AL,St. Clair,7.5974714873934248,AL,St. Clair,1.0651455844541127,120373,AL,St. Clair,122019,AL,St. Clair
AL,Marengo,0.74444444444444446,90,AL,Marengo,0.18947023071296629,543217410,AL,Marengo,9.323495963342479,AL,Marengo,1.9703574577104785,11398,AL,Marengo,11154,AL,Marengo
AL,Franklin,0.63636363636363635,44,AL,Franklin,0.26960190931489275,265572956,AL,Franklin,13.811876985528565,AL,Franklin,2.0060848657916854,4726,AL,Franklin,7559,AL,Franklin
AL,Morgan,0.44007989347536619,1502,AL,Morgan,0.41512770690280837,9065694998,AL,Morgan,30.714786285144942,AL,Morgan,8.87738610738473,106783,AL,Morgan,94845,AL,Morgan
AL,Randolph,0.944954128440367,109,AL,Randolph,0.040811298199043396,657896641,AL,Randolph,2.9427397023533342,AL,Randolph,0.90019628860411627,7596,AL,Randolph,7153,AL,Randolph
AL,Chilton,0.91162790697674423,215,AL,Chilton,0.065519533775363473,1297686035,AL,Chilton,6.2537795379068957,AL,Chilton,0.8826100690930534,17940,AL,Chilton,20509,AL,Chilton
AL,Calhoun,0.54443053817271592,799,AL,Calhoun,0.33776159101903336,4822563451,AL,Calhoun,18.705655846766078,AL,Calhoun,3.866176578068929,65818,AL,Calhoun,66279,AL,Calhoun
AL,Autauga,0.45528455284552843,369,AL,Autauga,0.40385489261194296,2227191381,AL,Autauga,28.307676657290124,AL,Autauga,7.8522245096306991,60592,AL,Autauga,59533,AL,Autauga
AL,Greene,1.0,22,AL,Greene,0.0,132786478,AL,Greene,0.71858568406416268,AL,Greene,1.5383111793497475,1665,AL,Greene,1506,AL,Greene
AL,Clarke,0.80165289256198347,121,AL,Clarke,0.14705558689903239,730325629,AL,Clarke,5.0483410191312394,AL,Clarke,0.89820322521775564,5927,AL,Clarke,5695,AL,Clarke
AL,Conecuh,0.425,40,AL,Conecuh,0.42630801910417415,241429960,AL,Conecuh,29.059868110048445,AL,Conecuh,0.7900588624348972,4840,AL,Conecuh,4757,AL,Conecuh
AL,Perry,0.79545454545454541,44,AL,Perry,0.15165107398962716,265572956,AL,Perry,10.687865104959553,AL,Perry,0.89760188031501087,6756,AL,Perry,6394,AL,Perry
AL,Escambia,0.56135770234986948,383,AL,Escambia,0.32521170262005339,2311691867,AL,Escambia,17.506970982880535,AL,Escambia,5.0087967496516788,27545,AL,Escambia,24600,AL,Escambia
AL,Marion,0.39622641509433965,159,AL,Marion,0.44764090603227474,959684091,AL,Marion,36.007352511430213,AL,Marion,40.719548299004607,20222,AL,Marion,19499,AL,Marion
AL,Lauderdale,0.476832350463353,1187,AL,Lauderdale,0.38787924231887788,7164434063,AL,Lauderdale,26.186599763002103,AL,Lauderdale,8.101773905733852,62206,AL,Lauderdale,62296,AL,Lauderdale
AL,DeKalb,0.55780933062880322,493,AL,DeKalb,0.32784248404518906,2975624257,AL,DeKalb,17.985169458924908,AL,DeKalb,11.143414497012213,33831,AL,DeKalb,184596,AL,DeKalb
AL,Lamar,0.52380952380952384,21,AL,Lamar,0.35305011934093095,126750729,AL,Lamar,19.880300361134516,AL,Lamar,4.8349942544708888,3509,AL,Lamar,3660,AL,Lamar
AL,Coosa,0.66666666666666663,6,AL,Coosa,0.24713508353865168,36214494,AL,Coosa,15.603875618942766,AL,Coosa,3.2834413153677859,5816,AL,Coosa,6091,AL,Coosa
AL,Chambers,0.44333333333333336,300,AL,Chambers,0.41271558950954829,1810724700,AL,Chambers,33.314401595751939,AL,Chambers,10.196820511323169,25693,AL,Chambers,23663,AL,Chambers
AL,Barbour,0.546875,64,AL,Barbour,0.33594925418535465,386287936,AL,Barbour,19.845443512228968,AL,Barbour,6.8349083932628947,7586,AL,Barbour,16107,AL,Barbour
AL,Butler,0.61538461538461542,117,AL,Butler,0.28515586562152118,706182633,AL,Butler,14.781207339522918,AL,Butler,2.7451332595003364,8190,AL,Butler,8033,AL,Butler
AL,Blount,0.77963737796373778,717,AL,Blount,0.16337800501718394,4327632033,AL,Blount,7.907345772791543,AL,Blount,1.6594563136031473,43718,AL,Blount,49456,AL,Blount
AL,Cherokee,0.92,200,AL,Cherokee,0.0593124200492764,1207149800,AL,Cherokee,2.7584231462981204,AL,Cherokee,0.71279987152671542,17746,AL,Cherokee,18950,AL,Cherokee
AL,Geneva,0.39473684210526316,38,AL,Geneva,0.44874528326755175,229358462,AL,Geneva,33.188747565743917,AL,Geneva,11.526194648108319,7510,AL,Geneva,7582,AL,Geneva
AL,Baldwin,0.56917507111455912,3867,AL,Baldwin,0.31941586437191133,23340241383,AL,Baldwin,17.653568588651435,AL,Baldwin,4.7646725551700451,280327,AL,Baldwin,288752,AL,Baldwin
AL,Colbert,0.57222222222222219,360,AL,Colbert,0.31715669054126966,2172869640,AL,Colbert,19.263660127844595,AL,Colbert,4.4605608140301669,32913,AL,Colbert,30109,AL,Colbert
AL,Wilcox,0.5,18,AL,Wilcox,0.37070262530797754,108643482,AL,Wilcox,23.503358584183644,AL,Wilcox,3.9393223076963468,3165,AL,Wilcox,3398,AL,Wilcox
AL,Pike,0.57746478873239437,213,AL,Pike,0.31326982420392468,1285614537,AL,Pike,20.6659420230909,AL,Pike,4.59532591045639,18469,AL,Pike,17723,AL,Pike
AL,Jefferson,0.47341847341847343,10101,AL,Jefferson,0.39041030868490889,60967100649,AL,Jefferson,27.342847720179488,AL,Jefferson,8.6693502147702262,871087,AL,Jefferson,948606,AL,Jefferson
AL,Russell,0.60600545950864426,1099,AL,Russell,0.29210962103431165,6633288151,AL,Russell,12.65301490902762,AL,Russell,1.9942922798197613,75381,AL,Russell,81673,AL,Russell
AL,Marshall,0.46892265193370164,1448,AL,Marshall,0.39374353433955073,8739764552,AL,Marshall,27.118492561473818,AL,Marshall,9.9111815145370077,100483,AL,Marshall,206362,AL,Marshall
AL,Monroe,0.86740331491712708,181,AL,Monroe,0.098307878534712276,1092470569,AL,Monroe,4.9467159752420873,AL,Monroe,0.75895021386878891,11736,AL,Monroe,11124,AL,Monroe
AL,Mobile,0.51000219828533744,4549,AL,Mobile,0.36328694298152642,27456622201,AL,Mobile,22.793862105694714,AL,Mobile,5.8556059215998069,336411,AL,Mobile,334382,AL,Mobile
AL,Walker,0.51086956521739135,460,AL,Walker,0.362643872583891,2776444540,AL,Walker,21.624806986336683,AL,Walker,8.462907317519802,33330,AL,Walker,35515,AL,Walker
AL,Cullman,0.52863436123348018,681,AL,Cullman,0.34947295954144136,4110345069,AL,Cullman,20.281337764418492,AL,Cullman,6.359167375401575,55112,AL,Cullman,77774,AL,Cullman
AL,Fayette,0.73255813953488369,86,AL,Fayette,0.19828279958333681,519074414,AL,Fayette,9.975810609667354,AL,Fayette,1.7544805673819153,10413,AL,Fayette,9666,AL,Fayette
